No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
65,Boysen,B-7760 Plexibond™ GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
66,Boysen,B-7760 Plexibond™ TIN,Exterior / waterproofing,16 L / tin,16,,4810,Active
67,Boysen,B-800 FWE Flatwall White GAL,Latex paint,4 L / gal,4,,740,Active
68,Boysen,B-800 FWE Flatwall White TIN,Latex paint,16 L / tin,16,,2740,Active
69,Boysen,BS-1258 Boysen Water White GAL,Paint / assorted,4 L / gal,4,,800,Active
70,Boysen,N-1540 DC Flat White GAL,Paint / assorted,4 L / gal,4,,800,Active
71,Boysen,N-1540 DC Flat White TIN,Paint / assorted,16 L / tin,16,,2800,Active
72,Boysen,N-1541 DC Gloss White GAL,Paint / assorted,4 L / gal,4,,800,Active
73,Boysen,N-1541 DC Gloss White TIN,Paint / assorted,16 L / tin,16,,2800,Active
74,Boysen,NS-965 FDE Maple GAL,Paint / assorted,4 L / gal,4,,800,Active
75,Centro,Centro Plastic Varnish Mahogany BTL,Enamel / lacquer / primer,350 mL bottle,0.35,,80,Active
76,Centro,Centro Plastic Varnish Maple BTL,Enamel / lacquer / primer,350 mL bottle,0.35,,80,Active
77,Centro,Centro Plastic Varnish Natural BTL,Enamel / lacquer / primer,350 mL bottle,0.35,,80,Active
78,Davies,Acry-Color AC-10 Toluidine Red 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
79,Davies,Acry-Color AC-10 Toluidine Red GAL,Tint / automotive color,4 L / gal,4,,900,Active
80,Davies,Acry-Color AC-10 Toluidine Red LT,Tint / automotive color,1 L,1,,220,Active
81,Davies,Acry-Color AC-12 Permanent Red 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
82,Davies,Acry-Color AC-12 Permanent Red GAL,Tint / automotive color,4 L / gal,4,,900,Active
83,Davies,Acry-Color AC-12 Permanent Red LT,Tint / automotive color,1 L,1,,220,Active
84,Davies,Acry-Color AC-20 Thalo Blue 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
85,Davies,Acry-Color AC-20 Thalo Blue GAL,Tint / automotive color,4 L / gal,4,,900,Active
86,Davies,Acry-Color AC-20 Thalo Blue LT,Tint / automotive color,1 L,1,,220,Active
87,Davies,Acry-Color AC-30 Thalo Green 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
88,Davies,Acry-Color AC-30 Thalo Green GAL,Tint / automotive color,4 L / gal,4,,900,Active
89,Davies,Acry-Color AC-30 Thalo Green LT,Tint / automotive color,1 L,1,,220,Active
